Title	RANDOMLY GENERATED
Cast_Sadness_Text	All Players become Sad.
Cast_Sadness_Log	$This$ casts sadness.
Cast_Anger	Cast Anger
Cast_Anger_Text	All Players become Angry.
Cast_Anger_Log	$This$ casts anger.
Puppeteer	Puppeteer
Puppeteer_Text	Makes Players Elevated, then makes them Grounded again to deal damage. Can also give all other Elevated Enemies Extra Abilities.
Collision	Collision
Collision_Text	Deal $Num$ damage to all Elevated Players.
Collision_Log	$This$ collides puppets with each other.
Drop	Drop
Drop_Text	Deal $Num$ damage to all Elevated Players. They become Grounded.
Drop_Log	$This$ drops everyone on the floor.
Dangle	Dangle
Dangle_Text	All Grounded Players become Elevated and lose $DefenseStat$ Defense.
Dangle_Log	$This$ dangles players in the air.
Control	Control
Control_Text	Each other Elevated Enemy gets $MiscStat$ Extra Ability.
Control_Log	$This$ controls other enemies.
Puppy	PUPPY!!!
Puppy_Text	Attacks Players after they're Grounded and their Defense has been reduced.
Bite	Bite
Bite_Text	Deal $Num$ damage to a Grounded Player with -1 Defense or less.
Bite_Log	$This$ bites $Target$.
Leap	Leap
Leap_Text	Deal $Num$ damage to an Elevated Player. They become Grounded.
Leap_Log	$This$ leaps into $Target$.
Bark	Bark
Bark_Text	All Players lose $DefenseStat$ Defense.
Bark_Log	$This$ barks.
Cuddle	Cuddle
Cuddle_Text	A Player with $MiscStat$ Defense or more loses $DefenseStat$ Defense.
Cuddle_Log	$This$ cuddles with $Target$.
Rats	Rats
Rats_Text	Defensive enemy that makes copies of itself.
Swarm	Swarm
Swarm_Text	Deal $Num$ damage to a Grounded Player. This gains $DefenseStat$ Defense.
Swarm_Log	$This$ swarms $Target$.
Strength_in_Numbers	Strength in Numbers
Strength_in_Numbers_Text	Summon a Rats.
Strength_in_Numbers_Log	$This$ attracts more Rats.
Royalty	Royalty
Royalty_Text	Summons more 1 Star Enemies, and then gives them more Stats and Max Health.
Order	Order
Order_Text	Deal $Num$ damage to a Player. They become Targeted for $MiscStat$ turn.
Order_Log	$This$ orders guards to attack $Target$. 
Promote	Promote
Promote_Text	Another Enemy gains $MiscStat$ Max Health and $Num$ Health.
Promote_Log	$This$ promotes $Target$.
Call	Call
Call_Text	Summon a random $MiscStat$ Star Enemy.
Call_Log	$This$ calls for help.
Procession	Procession
Procession_Text	All Enemies gain $PowerStat$ Power.
Procession_Log	$This$ arranges a procession.
Siren	Siren
Siren_Text	Makes a Player Angry and Stunned, and then deals damage to Stunned Players.
Drown	Drown
Drown_Text	Deal $Num$ damage to a Stunned Player.
Drown_Log	$This$ drowns $Target$.
Shipwreck	Shipwreck
Shipwreck_Text	An Angry Player loses $DefenseStat$ Defense and becomes Stunned for $MiscStat$ turns.
Shipwreck_Log	$This$ causes $Target$ to shipwreck.
Manipulate	Manipulate
Manipulate_Text	A Player becomes Angry and Locked for $MiscStat$ turns.
Manipulate_Log	$This$ manipulates $Target$.
Sing	Sing
Sing_Text	A $MiscStat$ Star Enemy becomes Targeted for $MiscStat$ turn.
Sing_Log	$This$ sings a song.
Spider	Spider
Spider_Text	While this is Elevated, it'll make Players Elevated and Sad, and then lower their Stats.
Stab_Prey	Stab Prey
Stab_Prey_Text	If this is Elevated, deal $Num$ damage to an Elevated Player.
Stab_Prey_Log	$This$ stabs $Target$.
Trapped	Trapped
Trapped_Text	If this is Elevated, a Grounded Player becomes Elevated and Locked for $MiscStat$ turn.
Trapped_Log	$This$ traps $Target$.
Silk_Wrap	Silk Wrap
Silk_Wrap_Text	An Elevated Player becomes Sad and loses $PowerStat$ Power.
Silk_Wrap_Log	$This$ wraps $Target$ in silk.
Spin_Web	Spin Web
Spin_Web_Text	A Grounded Enemy becomes Elevated and gains $DefenseStat$ Defense.
Spin_Web_Log	$This$ spins a web for $Target$.
Taskmaster	Taskmaster
Taskmaster_Text	Keeps changing its own Emotion, and deals heavy damage to any Player with a different Emotion.
Punishment	Punishment
Punishment_Text	Does $Num$ damage to Player who doesn't have the same Emotion as this.
Punishment_Log	$This$ punishes $Target$.
Demand_Happiness	Demand Happiness
Demand_Happiness_Text	This becomes Happy.
Demand_Happiness_Log	$This$ demands Happy.
Demand_Anger	Demand Anger
Demand_Anger_Text	This becomes Angry.
Demand_Anger_Log	$This$ demands Angry.
Demand_Sadness	Demand Sadness
Demand_Sadness_Text	This becomes Sad.
Demand_Sadness_Log	$This$ demands Sad.
Trickster	Trickster
Trickster_Text	Makes a Grounded Player Happy, and then makes their Ability Cooldown take longer.
Mischief	Mischief
Mischief_Text	Deal $Num$ damage to a Grounded Player.
Mischief_Log	$This$ causes mischief for $Target$.
Delude	Delude
Delude_Text	A Grounded Player becomes Happy and Locked for $MiscStat$ turns.
Delude_Log	$This$ deludes $Target$.
Delay	Delay
Delay_Text	One of a Grounded Player's Abilities that can be used is on Cooldown for $MiscStat$ turns.
Delay_Log	$This$ delays $Target$ from using an ability.
Distract	Distract
Distract_Text	A Grounded Player's active Ability Cooldown are increased by $MiscStat$.
Distract_Log	$This$ distracts $Target$.
Wall	Wall
Wall_Text	Makes itself Targeted and increases its Defense.
Toughen	Toughen
Toughen_Text	This gains $Num$ Health and gains $DefenseStat$ Defense.
Toughen_Log	$This$ toughens up.
In_the_Way	In the Way
In_the_Way_Text	This becomes Grounded and Targeted for $MiscStat$ turn.
In_the_Way_Log	$This$ is in the way.
Wolf	Wolf
Wolf_Text	Makes itself Angry and goes after Sad and Grounded Players. Also helps out any 1 Star Enemies.
Slash	Slash
Slash_Text	Deal $Num$ damage to a Grounded Player.
Slash_Log	$This$ slashes $Target$.
Howl	Howl
Howl_Text	An Enemy becomes Angry, and a Player becomes Sad.
Howl_Log	$This$ howls.
Nurture	Nurture
Nurture_Text	All $MiscStat$ Star Enemies gain $PowerStat$ Power and $DefenseStat$ Defense.
Nurture_Log	$This$ nurtures the young.
Guard	Guard
Guard_Text	A $MiscStat$ Star Enemy becomes Protected for $MiscStat$ turn.
Guard_Log	$This$ guards $Target$.
Update_0	Dec 9, 2025
Update_0_Text	Dropped speed and luck, and changed those abilities\nTurn order is now players first (in order of Wizard, Knight, Angel), then enemies first\nAngry's +2 Power now +1 Power, +1 Defense
Update_1	Dec 12, 2025
Update_1_Text	Changed Royalty's Procession to affect Power\nFixed a tag for an ability
Update_2	Dec 18, 2025
Update_2_Text	Knight's Twirl and Wizard's Shockwave: has no Cooldown\nAngel's Team Up: 2 Health to 3 Health\nWizard's Lightning Storm and Flood: 3 damage to 4 damage, dropped “lightning”\nArcher's Volley: has 1 turn of cooldown\nFixed some UI bugs with Defense stat
Upload_Translation	Upload Translation
Download_English	Download English
Blank	
Counting_Down	Timer: $Num$
Update_3	Dec 28, 2025
Update_3_Text	New translation features - you can download the English translation file and upload your own translation
