Title	RANDOMLY GENERATED
Procession_Log	$This$ arranges a procession.
Siren	Siren
Siren_Text	Makes a Player Focused and Stunned, and then deals damage to Stunned Players.
Drown	Drown
Drown_Text	Deal $MainNum$ damage to a Stunned Player.
Drown_Log	$This$ drowns $Target$.
Shipwreck	Shipwreck
Shipwreck_Text	A Focused Player loses $DefNum$ Defense and becomes Stunned for $StatusNum$ turns.
Shipwreck_Log	$This$ causes $Target$ to shipwreck.
Manipulate	Manipulate
Manipulate_Text	A Player becomes Focused and Locked during this and next Round.
Manipulate_Log	$This$ manipulates $Target$.
Sing	Sing
Sing_Text	A $MiscNum$ Star Enemy becomes Targeted during this and next Round.
Sing_Log	$This$ sings a song.
Spider	Spider
Spider_Text	While this is Elevated, it'll make Players Elevated and Tired, and then lower their Defense.
Stab_Prey	Stab Prey
Stab_Prey_Text	If this is Elevated, deal $MainNum$ damage to an Elevated Player.
Stab_Prey_Log	$This$ stabs $Target$.
Trapped	Trapped
Trapped_Text	If this is Elevated, a Grounded Player becomes Elevated and Locked during this and next Round.
Trapped_Log	$This$ traps $Target$.
Silk_Wrap	Silk Wrap
Silk_Wrap_Text	An Elevated Player becomes Tired and loses $PowNum$ Power.
Silk_Wrap_Log	$This$ wraps $Target$ in silk.
Spin_Web	Spin Web
Spin_Web_Text	A Grounded Enemy becomes Elevated and gains $DefNum$ Defense.
Spin_Web_Log	$This$ spins a web for $Target$.
Taskmaster	Taskmaster
Taskmaster_Text	Keeps changing its own Mood, and deals heavy damage to any Player with a different Mood.
Punishment	Punishment
Punishment_Text	Does $MainNum$ damage to Player with a different Mood than this.
Punishment_Log	$This$ punishes $Target$.
Demand_Lively	Demand Lively
Demand_Lively_Text	This becomes Lively.
Demand_Lively_Log	$This$ demands Lively.
Demand_Focused	Demand Focused
Demand_Focused_Text	This becomes Focused.
Demand_Focused_Log	$This$ demands Focused.
Demand_Tired	Demand Tired
Demand_Tired_Text	This becomes Tired.
Demand_Tired_Log	$This$ demands Tired.
Trickster	Trickster
Trickster_Text	Makes a Grounded Player Lively, and then makes their Ability Cooldown take longer.
Mischief	Mischief
Mischief_Text	Deal $MainNum$ damage to a Grounded Player.
Mischief_Log	$This$ causes mischief for $Target$.
Delude	Delude
Delude_Text	A Grounded Player becomes Lively and Locked during this and next Round.
Delude_Log	$This$ deludes $Target$.
Delay	Delay
Delay_Text	A Grounded Player receives $MiscNum$ Cooldown on one of their available Abilities, at random.
Delay_Log	$This$ delays $Target$ from using an ability.
Sidetrack	Sidetrack
Sidetrack_Text	A Grounded Player's active Ability Cooldown are increased by $MiscNum$.
Sidetrack_Log	$This$ sidetracks $Target$.
Wall	Wall
Wall_Text	Makes itself Targeted and increases its Defense.
Toughen	Toughen
Toughen_Text	This gains $MainNum$ Health and gains $DefNum$ Defense.
Toughen_Log	$This$ toughens up.
In_the_Way	In the Way
In_the_Way_Text	This becomes Grounded and Targeted during this and next round.
In_the_Way_Log	$This$ is in the way.
Wolf	Wolf
Wolf_Text	Makes itself Focused and goes after Tired and Grounded Players. Also helps out any 1 Star Enemies.
Pounce	Pounce
Pounce_Text	Deal $MainNum$ damage to a Grounded Player.
Pounce_Log	$This$ pounces on $Target$.
Hunt	Hunt
Hunt_Text	An Enemy becomes Focused, and a Player becomes Tired.
Hunt_Log	$This$ is hunting $Target$.
Nurture	Nurture
Nurture_Text	All $MiscNum$ Star Enemies gain $PowNum$ Power and $DefNum$ Defense.
Nurture_Log	$This$ nurtures the young.
Guard	Guard
Guard_Text	A $MiscNum$ Star Enemy becomes Protected during this and next Round.
Guard_Log	$This$ guards $Target$.
Passion	Passion
Passion_Text	When anyone becomes Focused, they gain 1 Power and 1 Defense.
Lucky	Lucky
Lucky_Text	When anyone becomes Lively, they get 1 Extra Ability.
Rest	Rest
Rest_Text	When anyone becomes Tired, they gain 2 Health.
Preparation	Preparation
Preparation_Text	After anyone uses an Attack or Healing Ability, they lose 1 Power; otherwise they gain 1 Power.
Inspiration	Inspiration
Inspiration_Text	Waves 2-5: Players get a new set of random Abilities.
Crowds	Crowds
Crowds_Text	Waves 1-4: Add another 1 Star Enemy at random, and all Enemies lose 1 Max Health.
Charge_Up	Charge Up
Charge_Up_Text	Each Wave: A random Enemy gains 5 Max Health, 5 Health, 2 Power, 2 Defense, and becomes Stunned for 3 turns.
Topsy_Turvy	Topsy Turvy
Topsy_Turvy_Text	Each Round: all Players switch Positions.
Bloodied	Bloodied
Bloodied_Text	If someone is at 6 Health or more, their Abilities have 1 more Cooldown; otherwise 1 less Cooldown.
Comfort_Zone	Comfort Zone
Comfort_Zone_Text	Anyone who's at their starting Position has +1 Defense; otherwise -1 Defense.
Update_0	Dec 9, 2025
Update_0_Text	Dropped speed and luck, and changed abilities that used them\nTurn order is now players first (in order of Wizard, Knight, Angel), then enemies in order\nAngry's +2 Power is now +1 Power, +1 Defense
Update_1	Dec 12, 2025
Update_1_Text	Changed Royalty's Procession to affect Power\nFixed a tag for an ability
Update_2	Dec 18, 2025
Update_2_Text	Knight's Twirl and Wizard's Shockwave: has no Cooldown\nAngel's Team Up: 2 Health to 3 Health\nWizard's Lightning Storm and Flood: 3 damage to 4 damage, dropped “lightning”\nArcher's Volley: has 1 turn of cooldown\nFixed some wrong UI displays
Update_3	Dec 28, 2025
Update_3_Text	New translation features - you can download the English translation file and upload your own translation
Update_4	Jan 07, 2026
Update_4_Text	Fixed an issue with the encyclopedia, and added Page and Crow to it \nFixed bugs in ability forcer \nKnight's Immobilize and Spider's Trapped add 1 more turn of locked \nSwitched emotions/names for Angel's Retreat and Enrage \nFixed Drone's Alarm
Update_5	Jan 13, 2026
Update_5_Text	Fixed log autoscroll \nFixed encyclopedia putting abilities in not-alphabetical order
Update_6	Feb 08, 2026
Update_6_Text	Fixed some translation issues \nAdded fonts for some languages \nFixed minor bugs in encyclopedia
Update_7	Feb 28, 2026
Update_7_Text	Dropped Neutral, Emotion effects and Cheats/Challenges \nAdded 10 Rules; 2 are randomly chosen per game to change combat \nChanged and replaced many abilities \nRevive is affected by the user's Power, recovers only 8, and doesn't mess up the turn order \nPower and Defense are capped at -3 and +3 \nProtected, Targeted, and Locked wear off at the start of each round \nEmotions are now Moods, and it's Lively, Focused, Tired
Update_8	Mar 02, 2026
Update_8_Text	Knight now hits Enemies at the same Position as it (not necessarily just Grounded) \nWave 1 is now 3 1-Star Enemies \nWave 2 is now 2 2-Star Enemies \nChanged some Rules and Wizard abilities
